title,animal,book_cover_image,description
"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",monkey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348541342i/775597.jpg,"Caps for Saleis a timeless classic beloved by millions...one of the most popular picture books ever published!Children will delight in following the peddler’s efforts to outwit the monkeys and will ask to read it again and again.Caps for Saleis an excellent easy-to-read book that includes repetition, patterns, and colors, perfect for early readers.This tale of a peddler and a band of mischievous monkeys is filled with warmth, humor, and simplicity and also teaches children about problem and resolution.Show more"
Make Way for Ducklings,duck,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362580777i/29291.jpg,"This classic tale of the famous Mallard ducks of Boston is available for the first time in a full-sized paperback edition. Awarded the Caldecott Medal in 1942,Make Way for Ducklingshas been described as ""one of the merriest picture books ever"" (The New York Times). Ideal for reading aloud, this book deserves a place of honor on every child's bookshelf."
Make Way for Ducklings,duck,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362580777i/29291.jpg,"This classic tale of the famous Mallard ducks of Boston is available for the first time in a full-sized paperback edition. Awarded the Caldecott Medal in 1942,Make Way for Ducklingshas been described as ""one of the merriest picture books ever"" (The New York Times). Ideal for reading aloud, this book deserves a place of honor on every child's bookshelf."
The Runaway Bunny,bunny,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468816103i/58922.jpg,"A little bunny keeps running away from his mother in an imaginative and imaginary game of verbal hide-and-seek; children will be profoundly comforted by this lovingly steadfast mother who finds her child every time.The Runaway Bunny, first published in 1942 and never out of print, has indeed become a classic. Generations of readers have fallen in love with the gentle magic of its reassuring words and loving pictures."
The Runaway Bunny,bunny,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468816103i/58922.jpg,"A little bunny keeps running away from his mother in an imaginative and imaginary game of verbal hide-and-seek; children will be profoundly comforted by this lovingly steadfast mother who finds her child every time.The Runaway Bunny, first published in 1942 and never out of print, has indeed become a classic. Generations of readers have fallen in love with the gentle magic of its reassuring words and loving pictures."
The Poky Little Puppy,puppy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320424154i/505304.jpg,"In this cherished childhood classic, a puppy who is always late coming home one night finds there is no dessert for him.One of the original 12Little Golden Books, The Poky Little Puppyhas sold nearly 15 million copies since 1942, making it one of the most popular children’s books of all time. Now this curious little puppy is ready to win the hearts and minds of a new generation of kids."
Blueberries for Sal,bear,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363586056i/133526.jpg,"Caldecott Honor BookWhat happens when Sal and her mother meet a mother bear and her cub? A beloved classic is born!Kuplink, kuplank, kuplunk!Sal and her mother are picking blueberries to can for the winter. But when Sal wanders to the other side of Blueberry Hill, she discovers a mama bear preparing for her own long winter. Meanwhile Sal's mother is being followed by a small bear with a big appetite for berries! Will each mother go home with the right little one?With its expressive line drawings and charming story,Blueberries for Salhas won readers' hearts since its first publication in 1948.Show more"
Blueberries for Sal,bear,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363586056i/133526.jpg,"Caldecott Honor BookWhat happens when Sal and her mother meet a mother bear and her cub? A beloved classic is born!Kuplink, kuplank, kuplunk!Sal and her mother are picking blueberries to can for the winter. But when Sal wanders to the other side of Blueberry Hill, she discovers a mama bear preparing for her own long winter. Meanwhile Sal's mother is being followed by a small bear with a big appetite for berries! Will each mother go home with the right little one?With its expressive line drawings and charming story,Blueberries for Salhas won readers' hearts since its first publication in 1948.Show more"
Blueberries for Sal,crow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363586056i/133526.jpg,"Caldecott Honor BookWhat happens when Sal and her mother meet a mother bear and her cub? A beloved classic is born!Kuplink, kuplank, kuplunk!Sal and her mother are picking blueberries to can for the winter. But when Sal wanders to the other side of Blueberry Hill, she discovers a mama bear preparing for her own long winter. Meanwhile Sal's mother is being followed by a small bear with a big appetite for berries! Will each mother go home with the right little one?With its expressive line drawings and charming story,Blueberries for Salhas won readers' hearts since its first publication in 1948.Show more"
Blueberries for Sal,partridge,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363586056i/133526.jpg,"Caldecott Honor BookWhat happens when Sal and her mother meet a mother bear and her cub? A beloved classic is born!Kuplink, kuplank, kuplunk!Sal and her mother are picking blueberries to can for the winter. But when Sal wanders to the other side of Blueberry Hill, she discovers a mama bear preparing for her own long winter. Meanwhile Sal's mother is being followed by a small bear with a big appetite for berries! Will each mother go home with the right little one?With its expressive line drawings and charming story,Blueberries for Salhas won readers' hearts since its first publication in 1948.Show more"
"The Story of Babar (Babar, #1)",elephant,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353333493i/356321.jpg,"The first of the tales starring the most famous elephant in the literary world.In this classic that has delighted three generations of readers, Babar escapes from the hunter who killed his mother and comes to town. Here, with the help of an old friend, he will learn a lot of new things and one day, once returned to the great forest, he will be acclaimed King of the elephants!A story beautifully told accompanied by fascinating and hilarious illustrations!A must read for kids of any age!Show more"
"The Story of Babar (Babar, #1)",elephant,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353333493i/356321.jpg,"The first of the tales starring the most famous elephant in the literary world.In this classic that has delighted three generations of readers, Babar escapes from the hunter who killed his mother and comes to town. Here, with the help of an old friend, he will learn a lot of new things and one day, once returned to the great forest, he will be acclaimed King of the elephants!A story beautifully told accompanied by fascinating and hilarious illustrations!A must read for kids of any age!Show more"
"The Story of Babar (Babar, #1)",elephant,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353333493i/356321.jpg,"The first of the tales starring the most famous elephant in the literary world.In this classic that has delighted three generations of readers, Babar escapes from the hunter who killed his mother and comes to town. Here, with the help of an old friend, he will learn a lot of new things and one day, once returned to the great forest, he will be acclaimed King of the elephants!A story beautifully told accompanied by fascinating and hilarious illustrations!A must read for kids of any age!Show more"
"The Story of Babar (Babar, #1)",elephant,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353333493i/356321.jpg,"The first of the tales starring the most famous elephant in the literary world.In this classic that has delighted three generations of readers, Babar escapes from the hunter who killed his mother and comes to town. Here, with the help of an old friend, he will learn a lot of new things and one day, once returned to the great forest, he will be acclaimed King of the elephants!A story beautifully told accompanied by fascinating and hilarious illustrations!A must read for kids of any age!Show more"
"The Story of Babar (Babar, #1)",elephant,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353333493i/356321.jpg,"The first of the tales starring the most famous elephant in the literary world.In this classic that has delighted three generations of readers, Babar escapes from the hunter who killed his mother and comes to town. Here, with the help of an old friend, he will learn a lot of new things and one day, once returned to the great forest, he will be acclaimed King of the elephants!A story beautifully told accompanied by fascinating and hilarious illustrations!A must read for kids of any age!Show more"
Horton Hatches the Egg,elephant,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408927129i/11301.jpg,"Beloved by generations for his kindness and loyalty, Horton the Elephant is one of the most iconic and honorable characters in children's literature – as well as the star of two books and a short story by Dr. Seuss (Horton Hatches the Egg, Horton Hears a Who!,andHorton and the Kwuggerbug).Everyone laughs when Horton the Elephant offers to sit on Mayzie bird's egg while she goes on holiday. Horton's kindness and faithfulness are sorely tested when he, and the egg, are kidnapped and sold to a circus – but his reward for being faithful is more wonderful than he could ever have dreamed!With his unique combination of hilarious stories, zany pictures and riotous rhymes, Dr. Seuss has been delighting young children and helping them learn to read for over fifty years. Creator of the wonderfully anarchic'Cat in the Hat', and ranked among the world's top children's authors, Dr. Seuss is a global best-seller, with nearly half a billion books sold worldwide.Show more"
Horton Hatches the Egg,bird,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408927129i/11301.jpg,"Beloved by generations for his kindness and loyalty, Horton the Elephant is one of the most iconic and honorable characters in children's literature – as well as the star of two books and a short story by Dr. Seuss (Horton Hatches the Egg, Horton Hears a Who!,andHorton and the Kwuggerbug).Everyone laughs when Horton the Elephant offers to sit on Mayzie bird's egg while she goes on holiday. Horton's kindness and faithfulness are sorely tested when he, and the egg, are kidnapped and sold to a circus – but his reward for being faithful is more wonderful than he could ever have dreamed!With his unique combination of hilarious stories, zany pictures and riotous rhymes, Dr. Seuss has been delighting young children and helping them learn to read for over fifty years. Creator of the wonderfully anarchic'Cat in the Hat', and ranked among the world's top children's authors, Dr. Seuss is a global best-seller, with nearly half a billion books sold worldwide.Show more"
The Story About Ping,duck,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388193120i/189182.jpg,"Ping was an adventurous duck who lived on a beautiful wise-eyed boat on the Yangtze River. He liked his life on the riverboat just and liked his large family and his kind master. He didn't like to be the last in line to board the boat at night, for that unlucky duck got a loud spank. So what did Ping do when it seemed that he would be the last on line? What else but set out on his own to explore the fascinating world of life on the Yangtze River.The Story about Pingis one of the best-loved and enduring children's books, both for its spirited and irrepressible hero and for its beautiful evocation of a distant land and way of life. Every child can sympathize with a dawdling duck who wants to avoid a spanking, and share his excitement and wonder as he sails down the river.Show more"
The Ugly Duckling,stork,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381355973i/122967.jpg,"For over one hundred years The Ugly Duckling has been a childhood favorite, and Jerry Pinkney's spectacular new adaptation brings it triumphantly to new generations of readers. With keen emotion and fresh vision, the acclaimed artist captures the essence of the tale's timeless appeal: The journey of the awkward little bird -- marching bravely through hecklers, hunters, and cruel seasons -- is an unforgettable survival story; this blooming into a graceful swan is a reminder of the patience often necessary to discover true happiness. Splendid watercolors set in the lush countryside bring drama to life."
The Ugly Duckling,duck,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381355973i/122967.jpg,"For over one hundred years The Ugly Duckling has been a childhood favorite, and Jerry Pinkney's spectacular new adaptation brings it triumphantly to new generations of readers. With keen emotion and fresh vision, the acclaimed artist captures the essence of the tale's timeless appeal: The journey of the awkward little bird -- marching bravely through hecklers, hunters, and cruel seasons -- is an unforgettable survival story; this blooming into a graceful swan is a reminder of the patience often necessary to discover true happiness. Splendid watercolors set in the lush countryside bring drama to life."
The Ugly Duckling,duck,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381355973i/122967.jpg,"For over one hundred years The Ugly Duckling has been a childhood favorite, and Jerry Pinkney's spectacular new adaptation brings it triumphantly to new generations of readers. With keen emotion and fresh vision, the acclaimed artist captures the essence of the tale's timeless appeal: The journey of the awkward little bird -- marching bravely through hecklers, hunters, and cruel seasons -- is an unforgettable survival story; this blooming into a graceful swan is a reminder of the patience often necessary to discover true happiness. Splendid watercolors set in the lush countryside bring drama to life."
The Ugly Duckling,swan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381355973i/122967.jpg,"For over one hundred years The Ugly Duckling has been a childhood favorite, and Jerry Pinkney's spectacular new adaptation brings it triumphantly to new generations of readers. With keen emotion and fresh vision, the acclaimed artist captures the essence of the tale's timeless appeal: The journey of the awkward little bird -- marching bravely through hecklers, hunters, and cruel seasons -- is an unforgettable survival story; this blooming into a graceful swan is a reminder of the patience often necessary to discover true happiness. Splendid watercolors set in the lush countryside bring drama to life."
The Ugly Duckling,turkey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381355973i/122967.jpg,"For over one hundred years The Ugly Duckling has been a childhood favorite, and Jerry Pinkney's spectacular new adaptation brings it triumphantly to new generations of readers. With keen emotion and fresh vision, the acclaimed artist captures the essence of the tale's timeless appeal: The journey of the awkward little bird -- marching bravely through hecklers, hunters, and cruel seasons -- is an unforgettable survival story; this blooming into a graceful swan is a reminder of the patience often necessary to discover true happiness. Splendid watercolors set in the lush countryside bring drama to life."
The Ugly Duckling,cat,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381355973i/122967.jpg,"For over one hundred years The Ugly Duckling has been a childhood favorite, and Jerry Pinkney's spectacular new adaptation brings it triumphantly to new generations of readers. With keen emotion and fresh vision, the acclaimed artist captures the essence of the tale's timeless appeal: The journey of the awkward little bird -- marching bravely through hecklers, hunters, and cruel seasons -- is an unforgettable survival story; this blooming into a graceful swan is a reminder of the patience often necessary to discover true happiness. Splendid watercolors set in the lush countryside bring drama to life."
Rudolph the Red-nosed Reindeer (A Golden Book) 1976,reindeer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467073940i/4881107.jpg,"When the sun starts setting sooner and frost begins to gather on your windows, sit down with a loved one to relive this timeless story of a slightly unusual winter creature with a very special talent.Although the other reindeer may laugh at him because of his bright red nose, Rudolph proves his worth when he is chosen to lead Santa Claus's sleigh on a foggy night.Rudolph first appeared in a 1939 booklet written byRobert L. May, and published byMontgomery Ward,the Chicago, Illinois (USA), department store. In its first year of publication, Montgomery Ward distributed 2.4 million copies of Rudolph's story. The now familiar tale of Rudolph, a young reindeer with a glowing red nose, and how he came to Santa's rescue one foggy Christmas Eve, has become a Christmas classic.Show more"
Rudolph the Red-nosed Reindeer (A Golden Book) 1976,reindeer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467073940i/4881107.jpg,"When the sun starts setting sooner and frost begins to gather on your windows, sit down with a loved one to relive this timeless story of a slightly unusual winter creature with a very special talent.Although the other reindeer may laugh at him because of his bright red nose, Rudolph proves his worth when he is chosen to lead Santa Claus's sleigh on a foggy night.Rudolph first appeared in a 1939 booklet written byRobert L. May, and published byMontgomery Ward,the Chicago, Illinois (USA), department store. In its first year of publication, Montgomery Ward distributed 2.4 million copies of Rudolph's story. The now familiar tale of Rudolph, a young reindeer with a glowing red nose, and how he came to Santa's rescue one foggy Christmas Eve, has become a Christmas classic.Show more"
Walt Disney's Three Little Pigs (A Little Golden Book),pig,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388191633i/140131.jpg,"The three little pigs have never looked so cute and the big bad wolf never looked so bad in this retelling of the classic fairy tale! Vintage Disney artwork from the 1940s makes this book an important addition to every Little Golden Book collector’s library.Little Golden BooksChildren have lovedLittle Golden Booksfor over 60 years. They have written their names inside each front cover and delighted in the colorful pictures and wonderful stories. Thanks to the happy hours spent with such books asThe Poky Little Puppy,many children have developed a lifelong love of reading.Over two billionLittle Golden Bookshave reached the hands of children. We salute the talented authors and artists who create the books, as well as the readers – young and old – who enjoy the picture books with the famous gold-foil spine.Show more"
Walt Disney's Three Little Pigs (A Little Golden Book),pig,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388191633i/140131.jpg,"The three little pigs have never looked so cute and the big bad wolf never looked so bad in this retelling of the classic fairy tale! Vintage Disney artwork from the 1940s makes this book an important addition to every Little Golden Book collector’s library.Little Golden BooksChildren have lovedLittle Golden Booksfor over 60 years. They have written their names inside each front cover and delighted in the colorful pictures and wonderful stories. Thanks to the happy hours spent with such books asThe Poky Little Puppy,many children have developed a lifelong love of reading.Over two billionLittle Golden Bookshave reached the hands of children. We salute the talented authors and artists who create the books, as well as the readers – young and old – who enjoy the picture books with the famous gold-foil spine.Show more"
Walt Disney's Three Little Pigs (A Little Golden Book),pig,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388191633i/140131.jpg,"The three little pigs have never looked so cute and the big bad wolf never looked so bad in this retelling of the classic fairy tale! Vintage Disney artwork from the 1940s makes this book an important addition to every Little Golden Book collector’s library.Little Golden BooksChildren have lovedLittle Golden Booksfor over 60 years. They have written their names inside each front cover and delighted in the colorful pictures and wonderful stories. Thanks to the happy hours spent with such books asThe Poky Little Puppy,many children have developed a lifelong love of reading.Over two billionLittle Golden Bookshave reached the hands of children. We salute the talented authors and artists who create the books, as well as the readers – young and old – who enjoy the picture books with the famous gold-foil spine.Show more"
Walt Disney's Three Little Pigs (A Little Golden Book),wolf,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388191633i/140131.jpg,"The three little pigs have never looked so cute and the big bad wolf never looked so bad in this retelling of the classic fairy tale! Vintage Disney artwork from the 1940s makes this book an important addition to every Little Golden Book collector’s library.Little Golden BooksChildren have lovedLittle Golden Booksfor over 60 years. They have written their names inside each front cover and delighted in the colorful pictures and wonderful stories. Thanks to the happy hours spent with such books asThe Poky Little Puppy,many children have developed a lifelong love of reading.Over two billionLittle Golden Bookshave reached the hands of children. We salute the talented authors and artists who create the books, as well as the readers – young and old – who enjoy the picture books with the famous gold-foil spine.Show more"
Walt Disney's Dumbo (A Little Golden Book),elephant,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320426193i/1298205.jpg,"Everyone's favorite big-eared little elephant finds his way to the skies in this uplifting Little Golden Book. With artwork from the 1940s, allof the original charm and beauty of the Disney classic can be found in this vintage book."
Walt Disney's Dumbo (A Little Golden Book),elephant,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320426193i/1298205.jpg,"Everyone's favorite big-eared little elephant finds his way to the skies in this uplifting Little Golden Book. With artwork from the 1940s, allof the original charm and beauty of the Disney classic can be found in this vintage book."
Walt Disney's Dumbo (A Little Golden Book),mouse,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320426193i/1298205.jpg,"Everyone's favorite big-eared little elephant finds his way to the skies in this uplifting Little Golden Book. With artwork from the 1940s, allof the original charm and beauty of the Disney classic can be found in this vintage book."
And to Think That I Saw It on Mulberry Street,reindeer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389840830i/28351.jpg,"Dr. Seuss's very first book for children!A plain horse and wagon on Mulberry Street grows into a story that no one can beat! In this tale, Young Marco allows his imagination to run riot as he travels home from school one day. From a mere horse and wagon, young Marco concocts a colorful cast of characters, making Mulberry Street the most interesting location in town.The signature rhythmic text, combined with his unmistakable illustrations, will appeal toDr. Seussfans of all ages, who will cheer when our hero proves that a little imagination can go a very long way — Who wouldn't cheer when an elephant-pulled sleigh raced by?Now over seventy-five years old, this story is as timeless as ever. And Marco's singular kind of optimism is also evident inMcElligot's Pool.With his unique combination of hilarious stories, wacky pictures and riotous rhymes,Dr. Seusshas been delighting young children and helping them learn to read for over fifty years. Creator of the wonderfully anarchic'Cat in the Hat',and ranked among the world's top children's authors, Dr. Seuss is a global best-seller, with nearly half a billion books sold worldwide.Show more"
And to Think That I Saw It on Mulberry Street,elephant,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389840830i/28351.jpg,"Dr. Seuss's very first book for children!A plain horse and wagon on Mulberry Street grows into a story that no one can beat! In this tale, Young Marco allows his imagination to run riot as he travels home from school one day. From a mere horse and wagon, young Marco concocts a colorful cast of characters, making Mulberry Street the most interesting location in town.The signature rhythmic text, combined with his unmistakable illustrations, will appeal toDr. Seussfans of all ages, who will cheer when our hero proves that a little imagination can go a very long way — Who wouldn't cheer when an elephant-pulled sleigh raced by?Now over seventy-five years old, this story is as timeless as ever. And Marco's singular kind of optimism is also evident inMcElligot's Pool.With his unique combination of hilarious stories, wacky pictures and riotous rhymes,Dr. Seusshas been delighting young children and helping them learn to read for over fifty years. Creator of the wonderfully anarchic'Cat in the Hat',and ranked among the world's top children's authors, Dr. Seuss is a global best-seller, with nearly half a billion books sold worldwide.Show more"
Pat the Bunny,bunny,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620094749i/13532212.jpg,"The timeless children’s classic full of interactive fun—a perfect gift for new babies and first birthdays.For generations, Pat the Bunny has been creating special first-time moments between parents and their children. One of the best-selling children’s books of all time, this classic touch-and-feel book offers babies a playful and engaging experience, all the while creating cherished memories that will last a lifetime."
Nutcracker,mouse,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387711623i/774449.jpg,"The tale ofNutcracker, written by E.T.A. Hoffmann in 1816, has fascinated and inspired artists, composers, and audiences for almost two hundred years. It has retained its freshness because it appeals to the sense of wonder we all share.Maurice Sendak designed brilliant sets and costumes for the Pacific Northwest Ballet's Christmas production ofNutcrackerand has created even more magnificent pictures especially for this book. He has joined with the eminent translator Ralph Manheim to produce this illustrated edition of Hoffmann's wonderful tale, destined to become a classic for all ages.The world ofNutcrackeris a world of pleasures. Maurice Sendak's art illuminates the delights of Hoffmann's story in this rich and tantalizing treasure.Show more"
Nutcracker,mouse,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387711623i/774449.jpg,"The tale ofNutcracker, written by E.T.A. Hoffmann in 1816, has fascinated and inspired artists, composers, and audiences for almost two hundred years. It has retained its freshness because it appeals to the sense of wonder we all share.Maurice Sendak designed brilliant sets and costumes for the Pacific Northwest Ballet's Christmas production ofNutcrackerand has created even more magnificent pictures especially for this book. He has joined with the eminent translator Ralph Manheim to produce this illustrated edition of Hoffmann's wonderful tale, destined to become a classic for all ages.The world ofNutcrackeris a world of pleasures. Maurice Sendak's art illuminates the delights of Hoffmann's story in this rich and tantalizing treasure.Show more"
Millions of Cats,cat,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318725166i/621739.jpg,"Newbery Medal Honor Title (1929)An American classic with a refrain that millions of kids love to Hundreds of cats, thousands of cats, millions and billions and trillions of cats .Once upon a time there was an old man and an old woman who were very lonely. They decided to get a cat, but when the old man went out searching, he found not one cat, but millions and billions and trillions of cats! Unable to decide which one would be the best pet, he brought them all home.How the old couple came to have just one cat to call their own is a classic tale that has been loved for generations. Winner of a Newbery Honor, this collector's edition—featuring a heavy interior stock, spot gloss and embossing on the cover, and a thread-sewn binding—will bring this beloved tale to a whole new generation of readers.Show more"
